01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,0
20,0,OK
03,M1,0
30,0,OK
01,M1,0
10,0,OK
02,M1,1500
20,0,OK
03,M1,1500
30,0,OK
01,M1,1500
10,0,OK
02,M1,1500
20,540,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1260,OK
02,M1,1500
20,492,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1164,OK
02,M1,1500
20,1620,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1452,OK
02,M1,1500
20,1596,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1464,OK
02,M1,1500
20,1212,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1884,OK
02,M1,1500
20,1512,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1332,OK
02,M1,1500
20,1440,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1428,OK
02,M1,1500
20,1200,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1596,OK
02,M1,1500
20,1644,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1236,OK
02,M1,1500
20,1212,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1668,OK
02,M1,1500
20,1620,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1212,OK
02,M1,1500
20,1212,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1572,OK
02,M1,1500
20,1560,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1368,OK
02,M1,1500
20,1332,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1428,OK
02,M1,1500
20,1656,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1488,OK
02,M1,1500
20,1284,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1404,OK
02,M1,1500
20,1596,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1524,OK
02,M1,1500
20,1416,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1308,OK
02,M1,1500
20,1452,OK
03,M1,1500
30,0,OK
01,M1,1500
10,1560,OK
02,M1,3000
20,1476,OK
03,M1,3000
30,0,OK
01,M1,3000
10,1428,OK
02,M1,3000
20,2160,OK
03,M1,3000
